type;target;actual;timestamp
Steps;5000.0;22.604;2019-06-19 00:00:00 +0000
Steps;5000.0;22.313;2019-06-18 00:00:00 +0000
Steps;5000.0;16.028;2019-06-17 00:00:00 +0000
Steps;5000.0;7.620;2019-06-07 00:00:00 +0000
Steps;5000.0;18.745;2019-05-30 00:00:00 +0000
Steps;5000.0;10.262;2019-05-29 00:00:00 +0000
Steps;5000.0;9.163;2019-05-18 00:00:00 +0000
Steps;5000.0;7.751;2019-05-15 00:00:00 +0000
Steps;5000.0;5.710;2019-04-29 00:00:00 +0000
Steps;5000.0;10.616;2019-04-27 00:00:00 +0000
Steps;5000.0;5.578;2019-04-17 00:00:00 +0000
Steps;5000.0;8.250;2019-04-13 00:00:00 +0000
Steps;5000.0;6.361;2019-04-12 00:00:00 +0000
Steps;5000.0;11.798;2019-04-06 00:00:00 +0000
Steps;5000.0;5.528;2019-03-30 00:00:00 +0000
Steps;5000.0;7.098;2019-03-25 00:00:00 +0000
Steps;5000.0;7.086;2019-03-21 00:00:00 +0000
Steps;5000.0;12.442;2019-03-19 00:00:00 +0000
Steps;5000.0;31.682;2019-03-18 00:00:00 +0000
Steps;5000.0;20.505;2019-03-17 00:00:00 +0000
Steps;5000.0;22.131;2019-03-16 00:00:00 +0000
Steps;5000.0;15.731;2019-03-15 00:00:00 +0000
Steps;5000.0;9.574;2019-03-14 00:00:00 +0000
Steps;5000.0;5.651;2019-03-01 00:00:00 +0000
Steps;5000.0;7.027;2019-02-22 00:00:00 +0000
Steps;5000.0;5.726;2019-02-11 00:00:00 +0000
Steps;5000.0;6.587;2019-02-07 00:00:00 +0000
Steps;5000.0;11.490;2019-02-06 00:00:00 +0000
Steps;5000.0;7.249;2019-02-05 00:00:00 +0000
Steps;5000.0;7.599;2019-02-03 00:00:00 +0000
Steps;5000.0;6.115;2019-01-31 00:00:00 +0000
Steps;5000.0;6.692;2019-01-30 00:00:00 +0000
Steps;5000.0;9.128;2019-01-19 00:00:00 +0000
Steps;5000.0;6.890;2019-01-09 00:00:00 +0000
Steps;5000.0;5.656;2019-01-02 00:00:00 +0000
Steps;5000.0;6.063;2018-12-30 00:00:00 +0000
Steps;5000.0;5.585;2018-12-28 00:00:00 +0000
Steps;5000.0;7.089;2018-12-23 00:00:00 +0000
Steps;5000.0;11.442;2018-12-21 00:00:00 +0000
Steps;5000.0;6.987;2018-12-20 00:00:00 +0000
Steps;5000.0;6.105;2018-12-19 00:00:00 +0000
Steps;5000.0;5.548;2018-12-16 00:00:00 +0000
Steps;5000.0;11.292;2018-12-15 00:00:00 +0000
Steps;5000.0;16.359;2018-12-14 00:00:00 +0000
Steps;5000.0;12.052;2018-11-28 00:00:00 +0000
Steps;5000.0;6.384;2018-11-27 00:00:00 +0000
Steps;5000.0;7.923;2018-11-23 00:00:00 +0000
Steps;5000.0;13.403;2018-11-22 00:00:00 +0000
Steps;5000.0;6.565;2018-11-19 00:00:00 +0000
Steps;5000.0;11.724;2018-11-18 00:00:00 +0000
Steps;5000.0;7.241;2018-11-17 00:00:00 +0000
Steps;5000.0;16.091;2018-11-16 00:00:00 +0000
Steps;5000.0;5.456;2018-11-15 00:00:00 +0000
Steps;5000.0;12.656;2018-11-12 00:00:00 +0000
Steps;5000.0;6.407;2018-11-11 00:00:00 +0000
Steps;5000.0;14.521;2018-11-09 00:00:00 +0000
Steps;5000.0;15.129;2018-11-08 00:00:00 +0000
Steps;5000.0;14.887;2018-11-07 00:00:00 +0000
Steps;5000.0;15.455;2018-11-06 00:00:00 +0000
Steps;5000.0;10.100;2018-11-05 00:00:00 +0000
Steps;5000.0;5.660;2018-11-04 00:00:00 +0000
Steps;5000.0;12.829;2018-11-02 00:00:00 +0000
Steps;5000.0;14.773;2018-11-01 00:00:00 +0000
Steps;5000.0;14.205;2018-10-31 00:00:00 +0000
Steps;5000.0;11.572;2018-10-30 00:00:00 +0000
Steps;5000.0;9.243;2018-10-29 00:00:00 +0000
Steps;5000.0;11.277;2018-10-26 00:00:00 +0000
Steps;5000.0;15.593;2018-10-25 00:00:00 +0000
Steps;5000.0;12.496;2018-10-24 00:00:00 +0000
Steps;5000.0;10.693;2018-10-23 00:00:00 +0000
Steps;5000.0;13.513;2018-10-22 00:00:00 +0000
Steps;5000.0;5.325;2018-10-21 00:00:00 +0000
Steps;5000.0;14.439;2018-10-17 00:00:00 +0000
Steps;5000.0;8.947;2018-10-16 00:00:00 +0000
Steps;5000.0;12.806;2018-10-12 00:00:00 +0000
